"정본CSV행번호","우선순위","업소명","시도","시군구","소재지도로명주소","할인정보","적용대상","이용조건","인증방법","기존출처유형","기존출처URL","기존최근확인일","재확인기준","검증결과","새출처유형","새출처URL","새최근확인일","제안혜택상태","정본반영여부","검토메모"
"4","P1","우동명가기리야마본진","서울특별시","강남구","서울특별시 강남구강남대로84길23(역삼동, (한라클래식 지하1층))","서비스 이용료의 20% 할인","복무중인사람(현역병)","없음 | 혜택기간: 2024-11-12~","복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"5","P1","투오프커피","서울특별시","강남구","서울특별시 강남구역삼로9길20(역삼동, (1층))","서비스 이용료의 20% 할인(모든 음료가 가능하나 병 음료는 제외)","동원훈련 이수자, 모범예비군, 복무중인사람","없음 | 혜택기간: 2024-04-17~2027-04-17","동원훈련이수증, 모범예비군증, 복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"7","P1","가운소곱창","서울특별시","강동구","서울특별시 강동구상암로42(천호동, 131호)","서비스 이용료의 10% 할인","복무중인사람(현역병,사회복무요원,전문산업기능요원)","없음 | 혜택기간: 2024-05-10~2027-05-10","복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"8","P1","송미용실","서울특별시","강북구","서울특별시 강북구인수봉로78길13(수유동)","서비스 이용료 면제","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-04-14~2027-04-14","동원훈련이수,모범예비군,명문가증,복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"9","P1","착한이발","서울특별시","강북구","서울특별시 강북구도봉로371(수유동, (지하1층))","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-04-11~","동원훈련이수,모범예비군,명문가증,복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"10","P1","만미정 식당","서울특별시","강북구","서울특별시 강북구솔매로43길96(미아동)","서비스 이용료의 10% 할인 *강북구 착한가격(모범)가게기 때문에 뭐든지 잘 드실수 있습니다.","동원훈련 이수자, 모범예비군, 복무중인사람","없음 | 혜택기간: 2025-04-16~2027-04-16","동원훈련이수증,모범예비군증,복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"11","P1","강서풍천민물장어","서울특별시","강서구","서울특별시 강서구양천로18길9(방화동)","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-09-25~","동원훈련이수,모범예비군,명문가증,복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"12","P1","공항두루치기","서울특별시","강서구","서울특별시 강서구양천로28(방화동)","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-09-25~","동원훈련이수,모범예비군,명문가증,복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"13","P1","김가네 개화산역점","서울특별시","강서구","서울특별시 강서구양천로28(방화동, (벽산에어트리움 C-8호)))","서비스 이용료의 5% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-09-25~","동원훈련이수,모범예비군,명문가증,복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"14","P1","일품사천불짬뽕","서울특별시","강서구","서울특별시 강서구양천로28(방화동, (벽산에어트리움))","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-09-08~","동원훈련이수,모범예비군,명문가증,복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
